u,w,up,wp,ut,wt,error
0.70970905,0.0052614086,-0.083163396,0.11564922,-0.07548,0.115163,0.008169621
0.70970905,0.0052614086,-0.079889834,0.11357093,-0.07205,0.11304,0.008370765
0.70970905,0.0052614086,-0.07659729,0.11150914,-0.068635,0.110964,0.008507423
0.70970905,0.0052614086,-0.073289186,0.10946655,-0.065233,0.108935,0.00858774
0.70970905,0.0052614086,-0.06996839,0.10744569,-0.061846,0.106952,0.008616079
0.70970905,0.0052614086,-0.06663792,0.105449244,-0.058475,0.105013,0.008599166
0.70970905,0.0052614086,-0.063300684,0.103480026,-0.055118,0.103119,0.008543711
0.70970905,0.0052614086,-0.059959825,0.101540804,-0.051775,0.101268,0.008457627
0.70970905,0.0052614086,-0.056617934,0.09963449,-0.048448,0.099459,0.008345425
0.70970905,0.0052614086,-0.053278152,0.09776393,-0.045135,0.097693,0.008214083
0.70970905,0.0052614086,-0.04994322,0.09593203,-0.041836,0.095968,0.00814319
0.70970905,0.0052614086,-0.046615724,0.09414153,-0.038552,0.094283,0.008205194
0.70970905,0.0052614086,-0.043298412,0.0923951,-0.035283,0.092638,0.008258317
0.70970905,0.0052614086,-0.039993834,0.09069527,-0.032027,0.091032,0.008303564
0.70970905,0.0052614086,-0.03670116,0.0890463,-0.028786,0.089465,0.008333862
0.70970905,0.0052614086,-0.033276115,0.08754936,-0.025559,0.087935,0.008102756
0.70970905,0.0052614086,-0.029867876,0.08610662,-0.022345,0.086442,0.007858256
0.70970905,0.0052614086,-0.026478607,0.08471911,-0.019146,0.084986,0.007599503
0.70970905,0.0052614086,-0.023110222,0.08338747,-0.01596,0.083566,0.0073287524
0.70970905,0.0052614086,-0.019888971,0.08199428,-0.012787,0.082181,0.0072886897
0.70970905,0.0052614086,-0.016770076,0.080583096,-0.009628,0.08083,0.007388981
0.70970905,0.0052614086,-0.013671208,0.0792281,-0.006482,0.079514,0.007475102
0.70970905,0.0052614086,-0.0105897,0.07792373,-0.00335,0.07823,0.0075459713
0.70970905,0.0052614086,-0.007524837,0.07666874,-0.00023,0.07698,0.0076061
0.70970905,0.0052614086,-0.0044757687,0.0754616,0.002876,0.075762,0.0076521686
0.70970905,0.0052614086,-0.0014418624,0.0743005,0.00597,0.074575,0.007686364
0.70970905,0.0052614086,0.0015780143,0.073183276,0.009051,0.07342,0.0077097127
0.70970905,0.0052614086,0.0045848303,0.07210762,0.012119,0.072295,0.0077215517
0.70970905,0.0052614086,0.007579256,0.071071036,0.015174,0.0712,0.007723706
0.70970905,0.0052614086,0.010562371,0.07007091,0.018218,0.070135,0.007719718
0.70970905,0.0052614086,0.0135353245,0.06910458,0.021249,0.069099,0.007719256
0.70970905,0.0052614086,0.016498487,0.06816949,0.024268,0.068091,0.007848004
0.70970905,0.0052614086,0.01948269,0.067094445,0.027275,0.067111,0.007808864
0.70970905,0.0052614086,0.022461329,0.06603101,0.03027,0.066158,0.00793566
0.70970905,0.0052614086,0.025430966,0.06500253,0.033253,0.065233,0.008052502
0.70970905,0.0052614086,0.028391901,0.06400746,0.036225,0.064334,0.008159634
0.70970905,0.0052614086,0.031344313,0.063044414,0.039185,0.063461,0.00825727
0.70970905,0.0052614086,0.034289,0.062112123,0.042134,0.062614,0.008346882
0.70970905,0.0052614086,0.037225742,0.061209425,0.045072,0.061792,0.008428834
0.70970905,0.0052614086,0.040155005,0.060335312,0.047999,0.060995,0.008503683
0.70970905,0.0052614086,0.0430766,0.05948892,0.050914,0.060222,0.008570481
0.70970905,0.0052614086,0.045990642,0.058669586,0.053819,0.059473,0.008631773
0.70970905,0.0052614086,0.048897024,0.057876647,0.056713,0.058747,0.00868633
0.70970905,0.0052614086,0.051795613,0.05710973,0.059597,0.058044,0.00873566
0.70970905,0.0052614086,0.05468629,0.056368496,0.062471,0.057364,0.008780211
0.70970905,0.0052614086,0.05756862,0.05565275,0.065334,0.056706,0.00881863
0.70970905,0.0052614086,0.06044249,0.054962374,0.068187,0.056069,0.008851137
0.70970905,0.0052614086,0.06330638,0.054319404,0.071031,0.055455,0.008860216
0.70970905,0.0052614086,0.06615497,0.053822804,0.073865,0.054861,0.008748222
0.70970905,0.0052614086,0.06899488,0.05333674,0.076689,0.054288,0.008645378
0.70970905,0.0052614086,0.07182574,0.052862518,0.079504,0.053735,0.008550737
0.70970905,0.0052614086,0.07464716,0.052401386,0.08231,0.053202,0.0084634535
0.70970905,0.0052614086,0.07745874,0.051954493,0.085107,0.052689,0.008382767
0.70970905,0.0052614086,0.08026031,0.05152301,0.087895,0.052195,0.008306682
0.70970905,0.0052614086,0.08305143,0.051107913,0.090675,0.05172,0.008235656
0.70970905,0.0052614086,0.08583182,0.050710183,0.093447,0.051263,0.008167997
0.70970905,0.0052614086,0.088601366,0.05033063,0.09621,0.050825,0.008103006
0.70970905,0.0052614086,0.09135969,0.04997002,0.098966,0.050405,0.008041292
0.70970905,0.0052614086,0.09410682,0.04962898,0.101714,0.050002,0.007980198
0.70970905,0.0052614086,0.09684236,0.049308013,0.104455,0.049617,0.007921625
0.70970905,0.0052614086,0.099566564,0.049007535,0.107189,0.049248,0.007862899
0.70970905,0.0052614086,0.102279276,0.04872784,0.109916,0.048896,0.0078048855
0.70970905,0.0052614086,0.10498035,0.04846908,0.112636,0.048561,0.007747568
0.70970905,0.0052614086,0.1076701,0.0482314,0.115351,0.048242,0.007691499
0.70970905,0.0052614086,0.11034861,0.048014678,0.118059,0.047938,0.0077870674
0.70970905,0.0052614086,0.1130161,0.047818743,0.120762,0.047651,0.007913642
0.70970905,0.0052614086,0.11567281,0.04764339,0.12346,0.047378,0.00805258
0.70970905,0.0052614086,0.11831893,0.04748818,0.126154,0.047121,0.008202255
0.70970905,0.0052614086,0.12095523,0.047352634,0.128843,0.046878,0.008362401
0.70970905,0.0052614086,0.12359014,0.04721142,0.131528,0.04665,0.008499283
0.70970905,0.0052614086,0.12623641,0.047026485,0.134209,0.046436,0.008563083
0.70970905,0.0052614086,0.12887594,0.046854798,0.136888,0.046236,0.008630853
0.70970905,0.0052614086,0.1315343,0.046684958,0.139565,0.04605,0.00866567
0.70970905,0.0052614086,0.13420896,0.04651775,0.142239,0.045877,0.008670792
0.70970905,0.0052614086,0.13687657,0.046363138,0.144913,0.045718,0.008681573
0.70970905,0.0052614086,0.13953829,0.046220317,0.147586,0.045572,0.008696031
0.70970905,0.0052614086,0.14219505,0.046088576,0.150259,0.045439,0.008713532
0.70970905,0.0052614086,0.14484805,0.04596702,0.152933,0.045319,0.0087329745
0.70970905,0.0052614086,0.1474954,0.04591853,0.155608,0.045211,0.008820128
0.70970905,0.0052614086,0.15014212,0.045927998,0.158287,0.045116,0.008956883
0.70970905,0.0052614086,0.15280022,0.04589236,0.160969,0.045033,0.009028148
0.70970905,0.0052614086,0.15546143,0.045871366,0.163655,0.044961,0.0091039315
0.70970905,0.0052614086,0.15812807,0.0458643,0.166348,0.044902,0.009182226
0.70970905,0.0052614086,0.1608023,0.045870416,0.169047,0.044854,0.009261109
0.70970905,0.0052614086,0.16348742,0.045888923,0.171755,0.044818,0.009338506
0.70970905,0.0052614086,0.16618606,0.045919172,0.174473,0.044793,0.009413112
0.70970905,0.0052614086,0.16890173,0.04596047,0.177203,0.044779,0.009482745
0.70970905,0.0052614086,0.17163797,0.0460122,0.179946,0.044776,0.009544238
0.70970905,0.0052614086,0.17439857,0.04607381,0.182705,0.044785,0.009595238
0.70970905,0.0052614086,0.17718764,0.046144776,0.185481,0.044804,0.009634137
0.70970905,0.0052614086,0.18000974,0.046224676,0.188278,0.044834,0.009658944
0.70970905,0.0052614086,0.18286897,0.046313144,0.191098,0.044874,0.009668175
0.70970905,0.0052614086,0.18577111,0.046409838,0.193945,0.044925,0.009658735
0.70970905,0.0052614086,0.1887206,0.046514586,0.196821,0.044987,0.00962799
0.70970905,0.0052614086,0.19172324,0.046627205,0.19973,0.045059,0.009574957
0.70970905,0.0052614086,0.19478439,0.04674767,0.202678,0.045142,0.009499278
0.70970905,0.0052614086,0.19791012,0.046875946,0.20567,0.045235,0.00940083
0.70970905,0.0052614086,0.20110638,0.04701213,0.20871,0.045339,0.009276748
0.70970905,0.0052614086,0.20437898,0.047156423,0.211806,0.045453,0.009130444
0.70970905,0.0052614086,0.20773664,0.047308184,0.214965,0.045578,0.008958545
0.70970905,0.0052614086,0.21125643,0.04743684,0.218195,0.045713,0.0086624175
0.70970905,0.0052614086,0.21487942,0.047571167,0.221507,0.045859,0.00833974
0.70970905,0.0052614086,0.21861231,0.047711413,0.224912,0.046017,0.007994104
