Problem,Folder,Final Error 1,Final Error 2,Hidden Layers,Pinn Info,Batch Size,total_neurons,shape
Bp,simulation135,0.012690980918705463,0.9449289441108704,"[['Sigmoid', 32], ['ELU', 32], ['ELU', 32]]",False,traininig_data/treino_s/,96,rectangle
Bp,simulation518,0.017356878146529198,0.940665602684021,"[['LeakyReLU', 16], ['Tanh', 32]]",False,traininig_data/treino_s/,48,funnel
Bp,simulation526,0.021086759865283966,0.9216765761375427,"[['LeakyReLU', 32], ['ELU', 128]]",False,traininig_data/treino_s/,160,funnel
Bp,simulation301,0.009003430604934692,1.0727570056915283,"[['Sigmoid', 64], ['ReLU', 16], ['ReLU', 64]]",False,traininig_data/treino_s/,144,bowtie
Bp,simulation638,0.019373467192053795,0.9769274592399597,"[['Sigmoid', 128], ['SiLU', 128]]",False,traininig_data/treino_s/,256,rectangle
Bp,simulation420,0.004813005682080984,1.0242265462875366,"[['ReLU', 64], ['ELU', 128], ['SiLU', 32]]",False,traininig_data/treino_s/,224,diamond
Bp,simulation369,0.006530835293233395,1.0025016069412231,"[['LeakyReLU', 64], ['ReLU', 16], ['Sigmoid', 128]]",False,traininig_data/treino_s/,208,bowtie
Bp,simulation499,0.0070502739399671555,0.9740502238273621,"[['ReLU', 32], ['SiLU', 64], ['ReLU', 32]]",False,traininig_data/treino_s/,128,diamond
Bp,simulation466,0.0070845261216163635,0.9643682241439819,"[['LeakyReLU', 32], ['ELU', 128], ['Tanh', 16]]",False,traininig_data/treino_s/,176,diamond
Bp,simulation5,0.00811014138162136,0.9477732181549072,"[['SiLU', 16], ['Tanh', 32], ['ELU', 64]]",False,traininig_data/treino_s/,112,funnel
Bp,simulation126,0.008085528388619423,0.9567223787307739,"[['Tanh', 32], ['LeakyReLU', 32], ['ReLU', 32]]",False,traininig_data/treino_s/,96,rectangle
Bp,simulation754,0.029553301632404327,0.8890738487243652,"[['ELU', 64], ['ReLU', 16]]",False,traininig_data/treino_s/,80,bottleneck
Bp,simulation182,0.01275235041975975,0.9568769335746765,"[['LeakyReLU', 16], ['LeakyReLU', 16], ['Sigmoid', 16]]",False,traininig_data/treino_s/,48,rectangle
Bp,simulation87,0.007066470105201006,0.9612493515014648,"[['Tanh', 16], ['ReLU', 64], ['ELU', 128]]",False,traininig_data/treino_s/,208,funnel
Bp,simulation162,0.006158904638141394,0.9705191850662231,"[['SiLU', 32], ['Tanh', 32], ['ELU', 32]]",False,traininig_data/treino_s/,96,rectangle
Bp,simulation222,0.004774663597345352,0.9698684215545654,"[['LeakyReLU', 128], ['Tanh', 64], ['LeakyReLU', 16]]",False,traininig_data/treino_s/,208,bottleneck
Bp,simulation789,0.019040806218981743,0.8858388066291809,"[['ReLU', 32], ['LeakyReLU', 16]]",False,traininig_data/treino_s/,48,bottleneck
Bp,simulation42,0.005401046015322208,0.9294954538345337,"[['ELU', 16], ['SiLU', 64], ['Sigmoid', 128]]",False,traininig_data/treino_s/,208,funnel
Bp,simulation667,0.012784467078745365,0.9221095442771912,"[['LeakyReLU', 32], ['Sigmoid', 32]]",False,traininig_data/treino_s/,64,rectangle
