Problem,Folder,Final Error 1,Final Error 2,Hidden Layers,Pinn Info,Batch Size,Inf speed,total_neurons,shape
A,simulation526,0.0006298139924183488,0.015870366245508194,"[['LeakyReLU', 32], ['ELU', 128]]",False,N/A,-1.0,160,funnel
A,simulation301,0.0020887767896056175,0.03432571887969971,"[['Sigmoid', 64], ['ReLU', 16], ['ReLU', 64]]",False,N/A,-1.0,144,bowtie
A,simulation638,0.0022435965947806835,0.01814558170735836,"[['Sigmoid', 128], ['SiLU', 128]]",False,N/A,-1.0,256,rectangle
A,simulation420,0.001666918396949768,0.016056358814239502,"[['ReLU', 64], ['ELU', 128], ['SiLU', 32]]",False,N/A,-1.0,224,diamond
A,simulation369,0.0010603034170344472,0.012157861143350601,"[['LeakyReLU', 64], ['ReLU', 16], ['Sigmoid', 128]]",False,N/A,-1.0,208,bowtie
A,simulation499,0.000815877050627023,0.035847850143909454,"[['ReLU', 32], ['SiLU', 64], ['ReLU', 32]]",False,N/A,-1.0,128,diamond
A,simulation466,0.0020408127456903458,0.01209750771522522,"[['LeakyReLU', 32], ['ELU', 128], ['Tanh', 16]]",False,N/A,-1.0,176,diamond
A,simulation5,0.0005437660147435963,0.0068826377391815186,"[['SiLU', 16], ['Tanh', 32], ['ELU', 64]]",False,N/A,-1.0,112,funnel
A,simulation126,0.0013079631607979536,0.0182497501373291,"[['Tanh', 32], ['LeakyReLU', 32], ['ReLU', 32]]",False,N/A,-1.0,96,rectangle
A,simulation754,0.001775770215317607,0.0523398295044899,"[['ELU', 64], ['ReLU', 16]]",False,N/A,-1.0,80,bottleneck
A,simulation182,0.0010243948781862855,0.006793320178985596,"[['LeakyReLU', 16], ['LeakyReLU', 16], ['Sigmoid', 16]]",False,N/A,-1.0,48,rectangle
A,simulation87,0.0009536614525131881,0.023300180211663246,"[['Tanh', 16], ['ReLU', 64], ['ELU', 128]]",False,N/A,-1.0,208,funnel
A,simulation162,0.0006316418293863535,0.008436977863311768,"[['SiLU', 32], ['Tanh', 32], ['ELU', 32]]",False,N/A,-1.0,96,rectangle
A,simulation222,0.0012426563771441579,0.024404197931289673,"[['LeakyReLU', 128], ['Tanh', 64], ['LeakyReLU', 16]]",False,N/A,-1.0,208,bottleneck
A,simulation789,0.0009771599434316158,0.027706414461135864,"[['ReLU', 32], ['LeakyReLU', 16]]",False,N/A,-1.0,48,bottleneck
A,simulation42,0.003401647787541151,0.01572646200656891,"[['ELU', 16], ['SiLU', 64], ['Sigmoid', 128]]",False,N/A,-1.0,208,funnel
A,simulation667,0.0036188624799251556,0.01828834041953087,"[['LeakyReLU', 32], ['Sigmoid', 32]]",False,N/A,-1.0,64,rectangle
A,simulation118,0.0007227155147120357,0.025490224361419678,"[['ReLU', 16], ['LeakyReLU', 16], ['LeakyReLU', 16]]",False,N/A,-1.0,48,rectangle
A,simulation275,0.0004917300539091229,0.014099791646003723,"[['SiLU', 64], ['LeakyReLU', 64], ['SiLU', 16]]",False,N/A,-1.0,144,bottleneck
