Problem,Folder,Final Error 1,Final Error 2,Hidden Layers,Pinn Info,Batch Size,total_neurons,shape
Bp,simulation1,0.0008031355682760477,0.6710395216941833,"[['ReLU', 16], ['Tanh', 32], ['ELU', 128]]",True,256,176,funnel
Bp,simulation3,0.006209700368344784,0.757957398891449,"[['ReLU', 32], ['ReLU', 64], ['LeakyReLU', 128]]",True,256,224,funnel
Bp,simulation16,0.0009367589955218136,0.7131091356277466,"[['Sigmoid', 32], ['Sigmoid', 64], ['Tanh', 64]]",True,256,160,funnel
Bp,simulation6,0.0002572815865278244,0.648562490940094,"[['LeakyReLU', 64], ['Sigmoid', 64], ['Sigmoid', 128]]",True,256,256,funnel
Bp,simulation22,0.0006857012631371617,0.7007583975791931,"[['SiLU', 16], ['LeakyReLU', 32], ['SiLU', 128]]",True,256,176,funnel
Bp,simulation14,0.0015916911652311683,0.5825970768928528,"[['ReLU', 64], ['Tanh', 64], ['Tanh', 128]]",True,256,256,funnel
Bp,simulation21,0.0007330666994675994,0.6335599422454834,"[['Tanh', 16], ['Sigmoid', 16], ['ELU', 64]]",True,256,96,funnel
Bp,simulation26,0.00047624780563637614,0.5811970233917236,"[['Tanh', 16], ['Sigmoid', 32], ['SiLU', 64]]",True,256,112,funnel
Bp,simulation7,0.0005304444930516183,0.6951810121536255,"[['LeakyReLU', 32], ['LeakyReLU', 64], ['SiLU', 128]]",True,256,224,funnel
Bp,simulation25,0.0011928249150514603,0.7970058917999268,"[['LeakyReLU', 16], ['Sigmoid', 16], ['Tanh', 64]]",True,256,96,funnel
Bp,simulation27,0.001442163367755711,0.6578470468521118,"[['LeakyReLU', 16], ['ReLU', 16], ['ELU', 128]]",True,256,160,funnel
Bp,simulation17,0.0004919136990793049,0.7843369245529175,"[['LeakyReLU', 64], ['ReLU', 64], ['SiLU', 128]]",True,256,256,funnel
Bp,simulation13,0.0009320582612417638,0.770748496055603,"[['Sigmoid', 16], ['SiLU', 32], ['Tanh', 64]]",True,256,112,funnel
B,simulation79,0.0008626363123767078,0.8127893209457397,"[['ReLU', 16], ['ReLU', 32], ['ELU', 64]]",False,256,112,funnel
B,simulation104,0.001012819237075746,0.7093155384063721,"[['LeakyReLU', 16], ['Sigmoid', 16], ['Sigmoid', 16]]",False,256,48,rectangle
B,simulation71,0.000910039059817791,0.5803236961364746,"[['LeakyReLU', 16], ['Tanh', 32], ['ELU', 64]]",False,256,112,funnel
B,simulation109,0.0006067288923077285,0.6853640079498291,"[['ReLU', 32], ['ReLU', 32], ['LeakyReLU', 32]]",False,256,96,rectangle
B,simulation95,0.0006587216630578041,0.6788724064826965,"[['ELU', 16], ['Sigmoid', 32], ['Tanh', 64]]",False,256,112,funnel
B,simulation113,0.0008580481517128646,0.6918759346008301,"[['ELU', 64], ['SiLU', 64], ['Sigmoid', 64]]",False,256,192,rectangle
B,simulation9,0.0005374864558689296,0.8494232296943665,"[['SiLU', 64], ['Tanh', 64], ['Tanh', 128]]",False,256,256,funnel
B,simulation5,0.0007369207451120019,0.7332029342651367,"[['SiLU', 16], ['Tanh', 32], ['ELU', 64]]",False,256,112,funnel
B,simulation87,0.0009736611973494291,0.9244396686553955,"[['Tanh', 16], ['ReLU', 64], ['ELU', 128]]",False,256,208,funnel
B,simulation42,0.0005144478636793792,0.7895563244819641,"[['ELU', 16], ['SiLU', 64], ['Sigmoid', 128]]",False,256,208,funnel
B,simulation93,0.0004362247418612242,0.5695649981498718,"[['LeakyReLU', 32], ['LeakyReLU', 32], ['LeakyReLU', 128]]",False,256,192,funnel
B,simulation97,0.0007364407647401094,0.8323565721511841,"[['Sigmoid', 32], ['ReLU', 32], ['ELU', 64]]",False,256,128,funnel
B,simulation39,0.0007785404450260103,0.7056980729103088,"[['SiLU', 16], ['ReLU', 16], ['Tanh', 128]]",False,256,160,funnel
B,simulation75,0.0004022291104774922,0.6392548084259033,"[['ReLU', 64], ['Sigmoid', 64], ['Tanh', 128]]",False,256,256,funnel
B,simulation56,0.00037041280302219093,0.7789720296859741,"[['ELU', 16], ['ReLU', 64], ['Sigmoid', 128]]",False,256,208,funnel
B,simulation4,0.0005665916833095253,0.9039602875709534,"[['LeakyReLU', 16], ['Tanh', 16], ['LeakyReLU', 32]]",False,256,64,funnel
B,simulation107,0.0010458388132974505,0.869979977607727,"[['ELU', 16], ['ReLU', 16], ['SiLU', 16]]",False,256,48,rectangle
B,simulation58,0.0004371125833131373,0.7630332708358765,"[['ELU', 32], ['ReLU', 64], ['ReLU', 128]]",False,256,224,funnel
B,simulation24,0.0006028863717801869,0.5622048377990723,"[['ELU', 16], ['ReLU', 16], ['LeakyReLU', 128]]",False,256,160,funnel
B,simulation30,0.0005758543848060071,0.6999368667602539,"[['ReLU', 32], ['SiLU', 64], ['Tanh', 128]]",False,256,224,funnel
B,simulation8,0.0006130318506620824,0.5716457962989807,"[['LeakyReLU', 16], ['Tanh', 32], ['ReLU', 64]]",False,256,112,funnel
B,simulation68,0.00038087621214799583,0.7015668153762817,"[['SiLU', 16], ['Sigmoid', 32], ['SiLU', 128]]",False,256,176,funnel
B,simulation98,0.0004996476345695555,0.7017076015472412,"[['LeakyReLU', 16], ['Tanh', 32], ['ReLU', 32]]",False,256,80,funnel
B,simulation31,0.0006127178785391152,0.7352124452590942,"[['Sigmoid', 16], ['Tanh', 32], ['ELU', 32]]",False,256,80,funnel
B,simulation2,0.0002546071191318333,0.6358743906021118,"[['ELU', 16], ['Sigmoid', 64], ['Sigmoid', 64]]",False,256,144,funnel
B,simulation57,0.0004665600717999041,0.6842458248138428,"[['ReLU', 16], ['Tanh', 64], ['LeakyReLU', 128]]",False,256,208,funnel
B,simulation90,0.0008922159904614091,0.5979610085487366,"[['ReLU', 16], ['LeakyReLU', 16], ['SiLU', 128]]",False,256,160,funnel
B,simulation76,0.0004903181688860059,0.763994574546814,"[['Sigmoid', 32], ['SiLU', 64], ['LeakyReLU', 128]]",False,256,224,funnel
B,simulation19,0.0005537496181204915,0.6253743171691895,"[['ELU', 32], ['Tanh', 32], ['ReLU', 64]]",False,256,128,funnel
B,simulation62,0.00047329990775324404,0.7792772650718689,"[['LeakyReLU', 16], ['Tanh', 32], ['Sigmoid', 64]]",False,256,112,funnel
B,simulation65,0.00048293074360117316,0.6148642897605896,"[['ELU', 16], ['Sigmoid', 32], ['ELU', 128]]",False,256,176,funnel
B,simulation37,0.0005191813106648624,0.8790796399116516,"[['SiLU', 32], ['LeakyReLU', 64], ['LeakyReLU', 64]]",False,256,160,funnel
B,simulation18,0.0003948438388761133,0.8653742671012878,"[['ELU', 32], ['ReLU', 32], ['Sigmoid', 64]]",False,256,128,funnel
B,simulation55,0.0006117506418377161,0.8097193241119385,"[['SiLU', 32], ['LeakyReLU', 32], ['SiLU', 128]]",False,256,192,funnel
B,simulation73,0.0006957636796869338,0.8845823407173157,"[['ReLU', 16], ['ReLU', 32], ['SiLU', 128]]",False,256,176,funnel
B,simulation112,0.0009465160546824336,0.7426073551177979,"[['Tanh', 16], ['LeakyReLU', 16], ['ELU', 16]]",False,256,48,rectangle
B,simulation69,0.000535314145963639,0.7667785882949829,"[['ReLU', 16], ['Tanh', 16], ['Sigmoid', 64]]",False,256,96,funnel
B,simulation41,0.00039032939821481705,0.707122802734375,"[['LeakyReLU', 32], ['LeakyReLU', 64], ['ReLU', 128]]",False,256,224,funnel
B,simulation28,0.0005774670862592757,0.5518780946731567,"[['Tanh', 16], ['SiLU', 32], ['ReLU', 64]]",False,256,112,funnel
