u,w,up,wp,ut,wt
0.51197803,0.0067255124,-0.06539595,0.13096032,-0.102243,0.135136
0.51197803,0.0067255124,-0.06794357,0.12905145,-0.100213,0.132586
0.51197803,0.0067255124,-0.06836605,0.12727323,-0.097388,0.130087
0.51197803,0.0067255124,-0.06744206,0.12558052,-0.0942,0.127639
0.51197803,0.0067255124,-0.06564498,0.12394398,-0.090848,0.125244
0.51197803,0.0067255124,-0.063295245,0.12234623,-0.087426,0.122899
0.51197803,0.0067255124,-0.060600996,0.12077568,-0.08398,0.120606
0.51197803,0.0067255124,-0.05768943,0.11922363,-0.080528,0.118363
0.51197803,0.0067255124,-0.05463648,0.117684804,-0.077082,0.116169
0.51197803,0.0067255124,-0.051506996,0.11615566,-0.073647,0.114024
0.51197803,0.0067255124,-0.048324108,0.1146339,-0.070225,0.111926
0.51197803,0.0067255124,-0.045113683,0.113118194,-0.066817,0.109875
0.51197803,0.0067255124,-0.041891217,0.11160733,-0.063423,0.107871
0.51197803,0.0067255124,-0.038659573,0.11010083,-0.060045,0.105911
0.51197803,0.0067255124,-0.035423756,0.108598195,-0.056681,0.103996
0.51197803,0.0067255124,-0.032189727,0.107099384,-0.053332,0.102125
0.51197803,0.0067255124,-0.0289613,0.10560385,-0.049997,0.100297
0.51197803,0.0067255124,-0.025734544,0.104111716,-0.046677,0.098511
0.51197803,0.0067255124,-0.022511363,0.10262262,-0.043372,0.096767
0.51197803,0.0067255124,-0.019296408,0.101136565,-0.040082,0.095063
0.51197803,0.0067255124,-0.016084313,0.09965338,-0.036805,0.0934
0.51197803,0.0067255124,-0.01287961,0.098173246,-0.033543,0.091776
0.51197803,0.0067255124,-0.0096699,0.09669597,-0.030295,0.090191
0.51197803,0.0067255124,-0.0064753294,0.095221296,-0.027062,0.088644
0.51197803,0.0067255124,-0.0032850504,0.09374934,-0.023842,0.087134
0.51197803,0.0067255124,-9.524822e-05,0.09227999,-0.020636,0.085661
0.51197803,0.0067255124,0.0030882359,0.09081321,-0.017443,0.084224
0.51197803,0.0067255124,0.0062658787,0.089350626,-0.014264,0.082822
0.51197803,0.0067255124,0.009437561,0.08791316,-0.011099,0.081456
0.51197803,0.0067255124,0.01260066,0.086507104,-0.007947,0.080123
0.51197803,0.0067255124,0.015755415,0.08513204,-0.004809,0.078825
0.51197803,0.0067255124,0.018896341,0.0837876,-0.001683,0.077559
0.51197803,0.0067255124,0.022034407,0.08247367,0.001429,0.076326
0.51197803,0.0067255124,0.025156736,0.08118966,0.004529,0.075125
0.51197803,0.0067255124,0.028277636,0.07993555,0.007616,0.073955
0.51197803,0.0067255124,0.031389475,0.07871081,0.01069,0.072816
0.51197803,0.0067255124,0.034488678,0.077515036,0.013751,0.071707
0.51197803,0.0067255124,0.037578344,0.076348156,0.016801,0.070628
0.51197803,0.0067255124,0.040667772,0.07520971,0.019837,0.069578
0.51197803,0.0067255124,0.043745518,0.07409935,0.022862,0.068557
0.51197803,0.0067255124,0.04681468,0.07301672,0.025875,0.067564
0.51197803,0.0067255124,0.04987669,0.07196158,0.028875,0.066599
0.51197803,0.0067255124,0.052930117,0.070933506,0.031864,0.065661
0.51197803,0.0067255124,0.055983543,0.06993237,0.034841,0.06475
0.51197803,0.0067255124,0.059021235,0.06895766,0.037807,0.063865
0.51197803,0.0067255124,0.06205225,0.06800908,0.040761,0.063006
0.51197803,0.0067255124,0.06508064,0.06708635,0.043704,0.062172
0.51197803,0.0067255124,0.06810117,0.066189125,0.046636,0.061363
0.51197803,0.0067255124,0.07111502,0.065317094,0.049556,0.060579
0.51197803,0.0067255124,0.07412219,0.064469956,0.052466,0.059819
0.51197803,0.0067255124,0.07711959,0.06364734,0.055365,0.059082
0.51197803,0.0067255124,0.08011818,0.062848955,0.058254,0.058369
0.51197803,0.0067255124,0.08310318,0.06207457,0.061132,0.057678
0.51197803,0.0067255124,0.08608222,0.06132368,0.064,0.05701
0.51197803,0.0067255124,0.08906007,0.060596287,0.066858,0.056363
0.51197803,0.0067255124,0.09203005,0.05989173,0.069706,0.055739
0.51197803,0.0067255124,0.09499073,0.059209883,0.072545,0.055135
0.51197803,0.0067255124,0.097950935,0.05855055,0.075374,0.054552
0.51197803,0.0067255124,0.10090184,0.05791326,0.078193,0.05399
0.51197803,0.0067255124,0.10385084,0.05729775,0.081003,0.053448
